sample_idx,formula,reference_native:terminal_status,reference_native:terminal_verified,reference_native:official_hull_status,reference_native:e_above_hull_eV_atom,reference_native:strict_stable,reference_native:meta_stable,reference_native:strict_sun,reference_native:meta_sun,reference_native:verified_strict_sun,reference_native:verified_meta_sun,reference_tau:terminal_status,reference_tau:terminal_verified,reference_tau:official_hull_status,reference_tau:e_above_hull_eV_atom,reference_tau:strict_stable,reference_tau:meta_stable,reference_tau:strict_sun,reference_tau:meta_sun,reference_tau:verified_strict_sun,reference_tau:verified_meta_sun,k4_native:terminal_status,k4_native:terminal_verified,k4_native:official_hull_status,k4_native:e_above_hull_eV_atom,k4_native:strict_stable,k4_native:meta_stable,k4_native:strict_sun,k4_native:meta_sun,k4_native:verified_strict_sun,k4_native:verified_meta_sun,k4_tau:terminal_status,k4_tau:terminal_verified,k4_tau:official_hull_status,k4_tau:e_above_hull_eV_atom,k4_tau:strict_stable,k4_tau:meta_stable,k4_tau:strict_sun,k4_tau:meta_sun,k4_tau:verified_strict_sun,k4_tau:verified_meta_sun,k8_native:terminal_status,k8_native:terminal_verified,k8_native:official_hull_status,k8_native:e_above_hull_eV_atom,k8_native:strict_stable,k8_native:meta_stable,k8_native:strict_sun,k8_native:meta_sun,k8_native:verified_strict_sun,k8_native:verified_meta_sun,k8_tau:terminal_status,k8_tau:terminal_verified,k8_tau:official_hull_status,k8_tau:e_above_hull_eV_atom,k8_tau:strict_stable,k8_tau:meta_stable,k8_tau:strict_sun,k8_tau:meta_sun,k8_tau:verified_strict_sun,k8_tau:verified_meta_sun
232,Ga3Pd3Au3,invalid_terminal,False,known,2.1636858871775306,False,False,False,False,False,False,not_converged,False,known,0.0854957989054359,False,True,False,True,False,False,invalid_terminal,False,known,3.6093636444407142,False,False,False,False,False,False,verified,True,known,0.06013044627482067,False,True,False,True,False,True,invalid_terminal,False,known,1.0768767288523353,False,False,False,False,False,False,not_converged,False,known,0.07818016322428356,False,True,False,True,False,False
233,ZnTm2Ir,not_converged,False,known,0.014710099851076741,False,True,False,True,False,False,verified,True,known,0.026670606290285725,False,True,False,True,False,True,verified,True,known,0.14224878088135018,False,False,False,False,False,False,verified,True,known,0.026668698941652913,False,True,False,True,False,True,verified,True,known,0.14224878088135018,False,False,False,False,False,False,verified,True,known,0.026669175778811116,False,True,False,True,False,True
234,Y6Ir2,not_converged,False,known,5.211900495274659,False,False,False,False,False,False,not_converged,False,known,0.03100039838134805,False,True,False,True,False,False,verified,True,known,0.018634103520508205,False,True,False,True,False,True,not_converged,False,known,0.03215005276977578,False,True,False,True,False,False,not_converged,False,known,8.251462720616455,False,False,False,False,False,False,verified,True,known,0.027443193181152736,False,True,False,True,False,True
235,CNZr2,not_converged,False,known,0.2048099049096681,False,False,False,False,False,False,not_converged,False,known,0.0243737705712892,False,True,False,True,False,False,not_converged,False,known,0.20320010266357436,False,False,False,False,False,False,not_converged,False,known,0.024372816896972793,False,True,False,True,False,False,not_converged,False,known,0.20312285504394545,False,False,False,False,False,False,not_converged,False,known,0.024372816896972793,False,True,False,True,False,False
236,Na2Br6Th,verified,True,known,0.07444840467637803,False,True,False,True,False,True,verified,True,known,0.00628548658555772,False,True,False,True,False,True,invalid_terminal,False,known,1.372720299131334,False,False,False,False,False,False,verified,True,known,0.0060651878184678765,False,True,False,True,False,True,verified,True,known,0.020916281110704205,False,True,False,True,False,True,verified,True,known,0.005480585462510845,False,True,False,True,False,True
237,O8Ti2Tb2,invalid_terminal,False,known,2.5797228455623333,False,False,False,False,False,False,not_converged,False,known,0.21902796030842708,False,False,False,False,False,False,invalid_terminal,False,known,1.6295990586360638,False,False,False,False,False,False,not_converged,False,known,0.17448374033772396,False,False,False,False,False,False,verified,True,known,0.37479826212727474,False,False,False,False,False,False,not_converged,False,known,0.1614422440608685,False,False,False,False,False,False
238,Mg3In3Nd3,invalid_terminal,False,known,4.752418230178359,False,False,False,False,False,False,verified,True,known,0.0017153722071672206,False,True,False,False,False,False,invalid_terminal,False,known,7.484808633925917,False,False,False,False,False,False,not_converged,False,known,0.09107632458448656,False,True,False,True,False,False,invalid_terminal,False,known,7.6824810010218645,False,False,False,False,False,False,not_converged,False,known,0.001192043426039291,False,True,False,False,False,False
239,Nd4Pt8,invalid_terminal,False,known,5.274320571489665,False,False,False,False,False,False,not_converged,False,known,0.022936790056559353,False,True,False,True,False,False,not_converged,False,known,4.320998399324748,False,False,False,False,False,False,not_converged,False,known,0.06023165471110037,False,True,False,True,False,False,verified,True,known,0.11726042515787771,False,False,False,False,False,False,not_converged,False,known,0.023049800463053494,False,True,False,True,False,False
240,AlMn2Ir,not_converged,False,known,0.1496943365520611,False,False,False,False,False,False,not_converged,False,known,0.14028157104913141,False,False,False,False,False,False,not_converged,False,known,0.1496943365520611,False,False,False,False,False,False,not_converged,False,known,0.14028157104913141,False,False,False,False,False,False,verified,True,known,0.14158142914239313,False,False,False,False,False,False,not_converged,False,known,0.14028252472344782,False,False,False,False,False,False
241,Al3FeTb2,not_converged,False,known,0.02939436600640377,False,True,False,True,False,False,verified,True,known,0.010977007607966272,False,True,False,False,False,False,verified,True,known,0.1752116458220776,False,False,False,False,False,False,not_converged,False,known,0.010817743997126428,False,True,False,False,False,False,verified,True,known,0.13883707688286862,False,False,False,False,False,False,verified,True,known,0.010607935647517053,False,True,False,False,False,False
