split,state_id,composition_id,sample_idx,plan_ordinal,milestone,intervention_position,num_atoms,branches,known_returns,direct_valid,known_actions,action_energy_mean,action_energy_std,action_energy_range,cross_continuation_spearman,cross_pair_agreements,cross_pair_comparisons,oxide,sulfide,n13_20
train,5392e33eba4b2b5ce9ade506802856a7860937be7dfb40aa1a7b0cc2b7cc7ce7,17:5|39:1|56:1,17,5,0.6,37,14,8,8,8,8,-5.300832569599152,0.017212519811021114,0.05813884735107422,,0,0,False,False,True
train,5447678db2b19967e614a19599addeca533bbcd9fdad757029e468618d612c8b,20:1|49:1|79:1,202,124,0.6,33,12,8,8,8,8,-3.3129285275936127,0.02211966476512319,0.0638892650604248,,0,0,False,False,False
train,559c73040720f4ee6c40f15ff2af46349c07e54b23cf4f66fad33fa1c7f3262d,24:1|40:1|42:1,191,116,0.8,18,6,8,8,8,8,-9.725780129432678,0.04560617139799814,0.13850116729736328,,0,0,False,False,False
train,55fe1a0d8c94db28d4a8f6302fabab52a41432865674e8e53d7573f619b16764,13:1|26:3|58:2,193,118,0.8,14,6,8,8,8,8,-6.9467233419418335,0.030323318183184376,0.10218667984008789,,0,0,False,False,False
train,560a183d8f0a14e82ad2503c515b81ea86b5baf2911b8d031f5581f7215f221e,15:2|40:1,138,80,0.6,17,12,8,8,8,8,-7.402026414871216,0.01640796624654533,0.050108909606933594,,0,0,False,False,False
train,561fce13b893b3fa15e53e3d26248a41cf38aee905cb24370d56ae40fa2a3888,32:2|69:1|78:1,196,121,0.8,26,16,8,8,8,8,-5.71559739112854,0.017626082828297095,0.04546070098876953,,0,0,False,False,True
train,56eba1de3372ac71ba5eb68a945ec5410f69607ee22c4e1b0d4b64ee98f5b5c5,6:3|24:2|68:2,101,56,0.8,30,7,8,8,8,8,-8.21431028842926,0.08940232391626582,0.23059463500976562,,0,0,False,False,False
train,575a0a3cff8ce06f663970146c5cd598aba68cb2f25b2b1cfffe1e861389bc0d,12:1|15:2|32:1,40,19,0.8,18,4,8,8,8,8,-4.539979815483093,0.026054505849479725,0.07932806015014648,,0,0,False,False,False
train,57bd18083368eff813122f9e6a6449a63da8eea0fabbe9d707bf22f29bd70371,3:2|8:1|9:4|23:1,32,13,0.8,22,16,8,8,8,8,-6.152248442173004,0.022009224165163516,0.07368898391723633,,0,0,True,False,True
train,5984e432f8911b28cba8fc20dc08af84ecd6ca597b398d3431ec7bbcc9aaf555,13:1|29:1|65:1,177,107,0.6,25,9,8,8,8,8,-4.5064709186553955,0.021286711424379552,0.07530069351196289,,0,0,False,False,False
train,59872d88252c17c11691a0e0635659d7875f1aba81b638daab96a92900a18fd0,9:6|24:1|81:3,149,88,0.6,33,10,8,8,8,8,-5.244812965393066,0.00035717203972302744,0.0011744499206542969,,0,0,False,False,False
train,59a36bd36c0a217ed353cd7b61ce31967437444dbfcedd026ab91fbcb3603a10,34:2|68:1|81:1,43,22,0.6,9,4,8,8,8,8,-5.081309914588928,3.144121000460378e-05,6.723403930664062e-05,,0,0,False,False,False
train,59d388bda91fe2d52cd816164e50765b0bb1d46898eac8f7d086a2feb63e000e,17:5|39:1|56:1,17,5,0.8,38,14,8,8,8,8,-5.3077152371406555,0.009099038707022474,0.027048587799072266,,0,0,False,False,True
train,59dbdb5ae726db245851b1fe226eeb086f2ec95c0c30c7531948b96a342e1acb,34:2|56:1,171,103,0.6,13,6,8,8,8,8,-4.624208867549896,0.040748717230335595,0.11069393157958984,,0,0,False,False,False
train,5b60d6d807218262a1024bad95ce49910616ddde885b087b2f18b73c9bed4c27,3:2|8:1|9:4|23:1,32,13,0.6,53,16,8,8,8,8,-6.152853190898895,0.02091810734300748,0.06425333023071289,,0,0,True,False,True
train,5baf13c71662a1adb49a5f03050c2c26f6c4fb203a1d57a7069031cf8ba7794e,48:2|51:2|63:1,155,93,0.6,25,5,8,8,8,8,-4.649697840213776,2.7202125878447248e-05,0.00010776519775390625,,0,0,False,False,False
train,5ca131f78283974541cf66aab0a9d1d04360165106c010a8d135115f7097e5a2,8:3|13:1|37:3,131,75,0.8,14,14,8,8,8,8,-5.16192364692688,0.04286744976814027,0.14330673217773438,,0,0,True,False,True
train,5eebd895dd6614a70401e80a974838893e748b5baaade585bbeb0bfc4796247a,8:12|25:3|29:1|34:4,195,120,0.8,30,20,8,8,8,8,-6.718150615692139,0.018602579693401948,0.04742908477783203,,0,0,True,False,True
train,5f47d49c6b41b4bebe01f9b045e2cca742a6c4cf58ff3860dee0e651ddc7b08f,29:1|31:1|35:4,175,106,0.6,37,12,8,8,8,8,-3.293035864830017,0.02493940047478643,0.08223176002502441,,0,0,False,False,False
train,6258d4a221fc4f0120903b0829927b55a857f16ef03600554bc565f2974072d9,34:3|39:1|47:1|56:1,167,101,0.8,30,12,8,8,8,8,-5.362893283367157,0.035461735911864085,0.08841085433959961,,0,0,False,False,False
train,6271e1361e5b0eda088e9f24cccd6214666d9391f708f30b3b5d5f212ac194d0,8:8|15:2|32:1|56:1,156,94,0.6,29,12,8,8,8,8,-7.4581499099731445,0.07342586495225503,0.18093585968017578,,0,0,True,False,False
train,6518fcb3e135d5b47e58902266f321df7392446dd676ea25f3f987a19ac2fa48,9:6|37:2|47:1|49:1,90,48,0.8,14,10,8,8,8,8,-4.527758717536926,0.0003215440058200863,0.0007567405700683594,,0,0,False,False,False
train,65ab36fd2dee957c660ca0f623be283015184840562236bf444d083698c7f43f,50:1|68:1|79:1,70,36,0.8,30,6,8,8,8,8,-4.722728729248047,0.015573390228395446,0.03224611282348633,,0,0,False,False,False
train,68085d0bad01b16a29cc629b5d636a5e179f512808d2f7da3f6fa44234fc62e9,23:1|28:1|41:1,77,41,0.6,41,12,8,8,8,8,-8.361541152000427,0.01616169080604545,0.060324668884277344,,0,0,False,False,False
train,6a99c07a14a06d4e53fe1788a21371d66954c04a60a3a4ccc21023d1aa127354,8:6|38:1|51:1|56:1|65:1,165,99,0.8,14,10,8,8,8,8,-7.263917922973633,2.2013408318304285e-05,7.581710815429688e-05,,0,0,True,False,False
train,6aaac8f1a69ba55ec92efc56e35afd808ba65cd661d121a9cc4ed3bb67249d9f,12:1|15:2|32:1,40,19,0.6,13,4,8,8,8,8,-4.517012059688568,0.03363021587643122,0.09821462631225586,,0,0,False,False,False
train,6ba809dadef762f1e5b6174f2358750c8e2fc32adede2411d2608367b22e20b9,23:4|40:1|72:1,41,20,0.6,21,6,8,8,8,8,-9.06168258190155,0.08813964369629858,0.2040853500366211,,0,0,False,False,False
train,6d111e75c99b392153bc820bccd3a63c1fa44628e18975177a018596eb13de73,29:1|34:4|41:1|55:2,35,15,0.6,53,16,8,8,8,8,-4.867889165878296,0.08413047116476169,0.2415904998779297,,0,0,False,False,True
train,6d2cda3763ed217c1d85b74d01c632b1cf123f32d4079f298af91d7ebc477284,3:2|12:1|17:4,92,49,0.8,30,14,8,8,8,8,-3.9691433906555176,0.019566732237404027,0.06446504592895508,,0,0,False,False,True
train,6dcbdbc4c88c2aeb65852d6e8df6a7668adf34668130fe04e457f5c5756ebefd,59:1|78:2,60,31,0.6,21,6,8,8,8,8,-6.61136931180954,0.01566786113605743,0.0509953498840332,,0,0,False,False,False
train,6dfea1da389544504ecd7837c5bb976d47e3d5514063e3b9ec033d0f02e55140,8:9|62:2|90:3,94,51,0.6,41,14,8,8,8,8,-9.555482864379883,0.048810180392558036,0.1503915786743164,,0,0,True,False,True
