method,endpoint,sample_idx,comp_valid,Struct_valid,SUN,MSUN,terminal_verified,terminal_status,terminal_energy_eV_atom,hull_energy_eV_atom,energy_above_hull_eV_atom
H1A2_D1,native,173,1,1,0,1,1,verified,-4.021245002746582,-4.0433448525,0.022099849753417722
H1A2_D1,native,174,1,0,0,0,0,invalid_raw,,-6.184572847416666,
H1A2_D1,native,175,1,0,0,0,0,invalid_raw,,-7.725493172589284,
H1A2_D1,native,176,1,0,0,0,0,invalid_raw,,-6.979628066000011,
H1A2_D1,native,177,1,0,0,0,0,invalid_raw,,-8.4103017015,
H1A2_D1,native,178,1,1,0,0,0,invalid_terminal,-5.006768703460693,-7.506928,2.500159296539307
H1A2_D1,native,179,1,0,0,0,0,invalid_raw,,-3.632799633666666,
H1A2_D1,native,180,0,0,0,0,0,generation_failure,,,
H1A2_D1,native,181,1,0,0,0,0,invalid_raw,,-9.403702867499998,
H1A2_D1,native,182,1,1,0,0,0,not_converged,-2.90458345413208,-3.509270435,0.6046869808679198
H1A2_D1,native,183,1,0,0,0,0,invalid_raw,,-8.030099325,
H1A2_D1,native,184,1,1,0,1,1,verified,-3.9538843631744385,-3.9777701946666664,0.023885831492227894
H1A2_D1,native,185,1,0,0,0,0,invalid_raw,,-8.105286150974027,
H1A2_D1,native,186,1,1,0,1,1,verified,-5.234882354736328,-5.309584936750004,0.07470258201367574
H1A2_D1,native,187,1,1,0,1,1,verified,-2.899279832839966,-2.935958591666667,0.03667875882670124
H1A2_D1,native,188,0,0,0,0,0,invalid_raw,,-4.530805311500001,
H1A2_D1,native,189,1,0,0,0,0,invalid_raw,,-4.2974479065625,
H1A2_D1,native,190,1,0,0,0,0,invalid_raw,,-2.478843291636363,
H1A2_D1,native,191,1,0,0,0,0,invalid_raw,,-5.861079962000004,
H1A2_D1,native,192,1,0,0,0,0,invalid_raw,,-6.129474928124999,
H1A2_D1,native,193,1,1,0,0,0,not_converged,-3.8915927410125732,,
H1A2_D1,native,194,1,0,0,0,0,invalid_raw,,-4.4339253475000024,
H1A2_D1,native,195,0,0,0,0,0,generation_failure,,,
H1A2_D1,native,196,1,0,0,0,0,invalid_raw,,-5.183282092550001,
H1A2_D1,native,197,1,0,0,0,0,invalid_raw,,-7.544452388071431,
H1A2_D1,native,198,1,1,0,0,0,not_converged,-1.3605575561523438,-6.5425852557291675,5.182027699576824
H1A2_D1,native,199,1,1,0,0,0,not_converged,-5.956904888153076,-6.185462128,0.228557239846924
H1A2_D1,native,200,1,1,0,0,1,verified,-6.256623268127441,-6.69122325,0.43459998187255877
H1A2_D1,native,201,1,0,0,0,0,invalid_raw,,-9.02059057129252,
H1A2_D1,native,202,1,1,0,0,0,not_converged,-5.059023857116699,-5.17988181,0.12085795288330115
H1A2_D1,native,203,1,0,0,0,0,invalid_raw,,,
H1A2_D1,native,204,1,0,0,0,0,invalid_raw,,-7.992896970749994,
H1A2_D1,native,205,1,1,0,0,1,verified,-5.8998026847839355,-6.140276655,0.24047397021606454
H1A2_D1,native,206,1,1,0,0,1,verified,-4.643930435180664,-4.74468591142857,0.10075547624790637
H1A2_D1,native,207,1,0,0,0,0,invalid_raw,,-5.606899892685186,
H1A2_D1,native,208,0,1,0,0,0,not_converged,-4.512564182281494,-4.68741232,0.17484813771850582
H1A2_D1,native,209,1,1,0,0,0,invalid_terminal,-2.540806531906128,-5.1834762150000095,2.6426696830938816
H1A2_D1,native,210,1,1,0,0,1,verified,-2.603081464767456,,
H1A2_D1,native,211,1,1,0,1,1,verified,-5.689957618713379,-5.776918745625004,0.08696112691162483
H1A2_D1,native,212,0,0,0,0,0,generation_failure,,,
H1A2_D1,native,213,1,1,0,0,0,not_converged,-7.439296722412109,-7.664742834166666,0.22544611175455653
H1A2_D1,native,214,1,1,0,0,1,verified,-3.173213481903076,-3.3357029050000016,0.16248942309692538
H1A2_D1,native,215,1,0,0,0,0,invalid_raw,,-6.628928884285714,
H1A2_D1,native,216,1,0,0,0,0,invalid_raw,,-4.1200051914285725,
H1A2_D1,native,217,1,1,0,1,1,verified,-4.364840507507324,-4.370858004130435,0.006017496623110574
H1A2_D1,native,218,1,0,0,0,0,invalid_raw,,-7.0036066112499995,
H1A2_D1,native,219,1,0,0,0,0,invalid_raw,,-5.8145049271875,
H1A2_D1,native,220,1,1,0,0,0,not_converged,-5.747255325317383,-8.85985034,3.1125950146826167
H1A2_D1,native,221,1,0,0,0,0,invalid_raw,,-3.520395878666667,
H1A2_D1,native,222,1,0,0,0,0,invalid_raw,,-8.158475707500001,
H1A2_D1,native,223,1,1,0,1,0,not_converged,-2.7214741706848145,-2.7799054446875,0.05843127400268555
H1A2_D1,native,224,1,0,0,0,0,invalid_raw,,-6.17849534983333,
H1A2_D1,native,225,1,1,0,0,1,verified,-6.057600498199463,-6.361017529109196,0.30341703090973304
H1A2_D1,native,226,1,1,0,0,0,invalid_terminal,-3.340736150741577,-5.569344862882653,2.2286087121410763
H1A2_D1,native,227,1,1,0,1,1,verified,-1.741753101348877,-1.764497722236842,0.02274462088796514
H1A2_D1,native,228,1,1,0,0,1,verified,-1.997462511062622,,
H1A2_D1,native,229,1,0,0,0,0,invalid_raw,,-4.828162192999991,
H1A2_D1,native,230,1,0,0,0,0,invalid_raw,,-6.745648262999994,
H1A2_D1,native,231,1,1,0,1,1,verified,-3.028163433074951,-3.037658465,0.009495031925048636
H1A2_D1,native,232,1,1,0,0,1,verified,-7.138923168182373,-7.2413824275000005,0.10245925931762745
H1A2_D1,native,233,1,0,0,0,0,invalid_raw,,-8.78412913614582,
H1A2_D1,native,234,1,0,0,0,0,invalid_raw,,-7.944424558055554,
H1A2_D1,native,235,1,0,0,0,0,invalid_raw,,-7.127507601153846,
H1A2_D1,native,236,0,0,0,0,0,invalid_raw,,-9.161690116,
H1A2_D1,native,237,1,0,0,0,0,invalid_raw,,-7.649855285333333,
H1A2_D1,native,238,1,1,1,1,0,not_converged,-3.957075834274292,-3.9039555466666664,-0.05312028760762555
H1A2_D1,native,239,1,0,0,0,0,invalid_raw,,-8.195476525393518,
H1A2_D1,native,240,0,1,0,0,1,verified,-2.9746921062469482,-3.1748408445,0.20014873825305157
H1A2_D1,native,241,0,0,0,0,0,invalid_raw,,-6.001532512576922,
H1A2_D1,native,242,1,1,0,0,0,not_converged,-0.6515295505523682,-2.9622649737499995,2.3107354231976314
H1A2_D1,native,243,1,0,0,0,0,invalid_raw,,-6.2871970683333345,
H1A2_D1,native,244,1,0,0,0,0,invalid_raw,,-7.770567307142858,
H1A2_D1,native,245,1,0,0,0,0,invalid_raw,,-7.920912217708325,
H1A2_D1,native,246,1,0,0,0,0,invalid_raw,,-3.687521190666668,
H1A2_D1,native,247,1,0,0,0,0,invalid_raw,,-4.750298503055555,
H1A2_D1,native,248,1,0,0,0,0,invalid_raw,,-7.025995946785715,
H1A2_D1,native,249,1,0,0,0,0,invalid_raw,,-8.487405831500002,
H1A2_D1,native,250,1,0,0,0,0,invalid_raw,,-5.871369278888894,
H1A2_D1,native,251,1,0,0,0,0,invalid_raw,,-6.295641089112499,
H1A2_D1,native,252,1,0,0,0,0,invalid_raw,,-3.566205878125,
H1A2_D1,native,253,0,0,0,0,0,invalid_raw,,-5.533590399090911,
H1A2_D1,native,254,1,1,1,1,0,not_converged,-9.973305702209473,-9.9450290275,-0.02827667470947226
H1A2_D1,native,255,1,1,0,0,1,verified,-6.701180934906006,-6.894403809199998,0.19322287429399232
H1A2_D1,native,256,1,1,0,0,0,invalid_terminal,-3.2773942947387695,-7.407460142874999,4.13006584813623
H1A2_D1,native,257,1,0,0,0,0,invalid_raw,,-7.124483321553028,
H1A2_D1,native,258,1,0,0,0,0,invalid_raw,,-7.450987041,
H1A2_D1,native,259,0,0,0,0,0,generation_failure,,,
H1A2_D1,native,260,1,1,1,1,1,verified,-5.499668598175049,-5.493872198749999,-0.005796399425049614
H1A2_D1,native,261,1,0,0,0,0,invalid_raw,,-4.7631831025624995,
H1A2_D1,native,262,1,1,0,0,0,not_converged,-6.342798233032227,-6.957786933333335,0.6149887003011081
H1A2_D1,native,263,1,0,0,0,0,invalid_raw,,-6.926639417500001,
H1A2_D1,native,264,0,0,0,0,0,invalid_raw,,-5.071622596904762,
H1A2_D1,native,265,1,0,0,0,0,invalid_raw,,-5.76353898,
H1A2_D1,native,266,1,1,1,1,0,not_converged,-6.060617446899414,-6.0073073536538475,-0.05331009324556657
H1A2_D1,native,267,1,1,0,0,0,not_converged,-6.819596767425537,-7.3198004800000085,0.5002037125744714
